year,id,country,alcohol,fatrate,pedrate,nofault,lpopdensity,popdensity,education,ymalerate,income,raterestrict,m_alcohol,m_fatrate,m_popdensity,lm_popdensity,m_education,m_ymalerate,m_income
2007,8,France,12.7,7.469831251,0.907836944,0,2.4233235766,11.28329797,26.64,6.442780245,29414.05134,0,12.48333333,7.32391482,11.30620158,2.4253513876,27.175,6.38089845,29106.15586
2008,8,France,12.3,6.880195091,0.881952494,0,2.4288045511,11.34531123,27.23,6.374935012,30182.16288,0,12.48333333,7.32391482,11.30620158,2.4253513876,27.175,6.38089845,29106.15586
2009,8,France,12.3,6.840553111,0.794035652,0,2.4341150208,11.40572042,28.58,6.313704904,29985.10844,0,12.48333333,7.32391482,11.30620158,2.4253513876,27.175,6.38089845,29106.15586
2010,8,France,12,6.3602088,0.772720759,0,2.4388986077,11.46041138,29,6.068601583,30744.60292,0,12.48333333,7.32391482,11.30620158,2.4253513876,27.175,6.38089845,29106.15586
2005,9,Germany,11.7,6.498114947,0.831506595,0,3.1630501247,23.64259894,24.55,5.988493674,26881.20241,0,11.46666667,5.609006078,23.56002293,3.159551332,25.19333333,5.887543554,30633.2443
2006,9,Germany,11.8,6.175550485,0.862466391,0,3.1622879757,23.62458662,23.94,5.975341254,29391.43021,0,11.46666667,5.609006078,23.56002293,3.159551332,25.19333333,5.887543554,30633.2443
2007,9,Germany,11.5,6.012276804,0.844318525,0,3.1607937497,23.58931251,24.29,5.926460594,30970.67334,0,11.46666667,5.609006078,23.56002293,3.159551332,25.19333333,5.887543554,30633.2443
2008,9,Germany,11.4,5.445290418,0.794231549,0,3.1596138143,23.56149506,25.4,5.869958751,32048.63775,0,11.46666667,5.609006078,23.56002293,3.159551332,25.19333333,5.887543554,30633.2443
2009,9,Germany,11.2,5.063269158,0.720711,0,3.156989519,23.4997438,26.38,5.813417938,31191.24397,0,11.46666667,5.609006078,23.56002293,3.159551332,25.19333333,5.887543554,30633.2443
2010,9,Germany,11.2,4.459534656,0.581891035,0,3.1545463754,23.44240063,26.6,5.75158911,33316.27814,0,11.46666667,5.609006078,23.56002293,3.159551332,25.19333333,5.887543554,30633.2443
2005,10,Greece,9.2,14.96018452,2.111389131,0,2.1515232118,8.597944919,21.34,6.562697196,21033.90122,0,8.666666667,13.69843136,8.68360163,2.1614363769,22.99666667,6.08789726,23395.22939
2006,10,Greece,8.8,14.89414238,2.399961385,0,2.1553441939,8.630860357,22.31,6.369598419,22939.37246,0,8.666666667,13.69843136,8.68360163,2.1614363769,22.99666667,6.08789726,23395.22939
2007,10,Greece,9,14.42926527,2.282545065,0,2.1595206514,8.666982157,22.76,6.181134104,23597.86454,0,8.666666667,13.69843136,8.68360163,2.1614363769,22.99666667,6.08789726,23395.22939
2008,10,Greece,8.8,13.849026,2.211563714,0,2.1632771012,8.699600466,23.41,5.971750402,24959.40733,0,8.666666667,13.69843136,8.68360163,2.1614363769,22.99666667,6.08789726,23395.22939
2009,10,Greece,8.3,12.93026661,1.793896879,0,2.1674255997,8.73576571,23.52,5.784532857,24806.71712,0,8.666666667,13.69843136,8.68360163,2.1614363769,22.99666667,6.08789726,23395.22939
2010,10,Greece,7.9,11.1277034,1.583353663,0,2.1713888196,8.770456168,24.64,5.657670582,23034.11367,0,8.666666667,13.69843136,8.68360163,2.1614363769,22.99666667,6.08789726,23395.22939
2005,11,Hungary,13,12.65653675,2.862080689,0,2.4218843981,11.26707097,17.08,6.635355956,13589.71743,0,12.15,10.55758248,11.21977758,2.4176780764,18.66333333,6.476306773,15316.55127
2006,11,Hungary,13.2,12.93097331,2.937504298,0,2.419805695,11.2436744,17.69,6.550330293,14614.8206,0,12.15,10.55758248,11.21977758,2.4176780764,18.66333333,6.476306773,15316.55127
2007,11,Hungary,12.6,12.23902903,2.861071722,0,2.4187707816,11.23204419,18.04,6.486587813,14775.61939,0,12.15,10.55758248,11.21977758,2.4176780764,18.66333333,6.476306773,15316.55127
2008,11,Hungary,11.8,9.914984977,2.498655853,0,2.4167065943,11.20888306,19.19,6.434506619,16084.96905,0,12.15,10.55758248,11.21977758,2.4176780764,18.66333333,6.476306773,15316.55127
2009,11,Hungary,11.5,8.214555415,1.854256441,0,2.4152694824,11.19278621,19.86,6.400592658,16183.82582,0,12.15,10.55758248,11.21977758,2.4176780764,18.66333333,6.476306773,15316.55127
2010,11,Hungary,10.8,7.389415401,1.917253726,0,2.4136081447,11.17420665,20.12,6.350467299,16650.35531,0,12.15,10.55758248,11.21977758,2.4176780764,18.66333333,6.476306773,15316.55127
2005,12,Iceland,7.1,6.47189664,0.340626139,0,-1.2281122026,0.292844888,30.54,7.469648217,29658.31671,0,7.066666667,5.554992525,0.308162427,-1.1771282746,31.16166667,7.498907646,27114.69843
2006,12,Iceland,7.2,10.33708914,1.333817954,0,-1.2068330844,0.299143142,29.5,7.482239908,29328.31897,0,7.066666667,5.554992525,0.308162427,-1.1771282746,31.16166667,7.498907646,27114.69843
2007,12,Iceland,7.5,4.875321771,0.325021451,0,-1.1812178792,0.306904738,30.35,7.460275662,30465.2385,0,7.066666667,5.554992525,0.308162427,-1.1771282746,31.16166667,7.498907646,27114.69843
2008,12,Iceland,7.3,3.803980866,0,0,-1.1562234387,0.314672319,31.29,7.559925475,25110.71433,0,7.066666667,5.554992525,0.308162427,-1.1771282746,31.16166667,7.498907646,27114.69843
2009,12,Iceland,7,5.323012951,0.626236818,0,-1.1439081165,0.318571571,32.75,7.51489447,23906.36641,0,7.066666667,5.554992525,0.308162427,-1.1771282746,31.16166667,7.498907646,27114.69843
2010,12,Iceland,6.3,2.51865378,0.629663445,0,-1.1493649766,0.316837905,32.54,7.506462142,24219.23568,0,7.066666667,5.554992525,0.308162427,-1.1771282746,31.16166667,7.498907646,27114.69843
2005,13,Ireland,13.4,9.631118436,1.799754455,0,1.7864889149,5.968459864,29.07,7.730496352,29445.46245,0,12.46666667,7.095776139,6.278505105,1.8371319115,33.26,7.139093932,31395.39975
2006,13,Ireland,13.4,8.673632822,1.734726564,0,1.8096837034,6.108515024,31.09,7.667840315,32589.96332,0,12.46666667,7.095776139,6.278505105,1.8371319115,33.26,7.139093932,31395.39975
2007,13,Ireland,13.2,7.837633906,1.878249546,0,1.8341829677,6.260017419,32.39,7.594259618,34378.31624,0,12.46666667,7.095776139,6.278505105,1.8371319115,33.26,7.139093932,31395.39975
2008,13,Ireland,12.2,6.338985785,1.113298579,0,1.8545670604,6.38893163,33.9,7.085772302,32272.80777,0,12.46666667,7.095776139,6.278505105,1.8371319115,33.26,7.139093932,31395.39975
2009,13,Ireland,11,5.348278551,0.898870345,0,1.8655699941,6.45961678,35.82,6.418316273,29335.46843,0,12.46666667,7.095776139,6.278505105,1.8371319115,33.26,7.139093932,31395.39975
2010,13,Ireland,11.6,4.745007335,0.984812843,0,1.8695673603,6.485489912,37.29,6.337878734,30350.38027,0,12.46666667,7.095776139,6.278505105,1.8371319115,33.26,7.139093932,31395.39975
2005,14,Israel,2.4,6.305916306,1.875901876,1,3.4664865451,32.02402957,45.79,8.315897318,20049.5818,0,2.416666667,5.29503889,33.61443315,3.5149555328,44.95333333,8.120508975,22147.49525
2006,14,Israel,2.2,5.741423306,1.927984123,1,3.4842215637,32.59704251,45.93,8.252406538,20835.15553,0,2.416666667,5.29503889,33.61443315,3.5149555328,44.95333333,8.120508975,22147.49525
2007,14,Israel,2.3,5.273329652,1.573716179,1,3.510800272,33.47504621,43.58,8.186515508,22682.79333,0,2.416666667,5.29503889,33.61443315,3.5149555328,44.95333333,8.120508975,22147.49525
2008,14,Israel,2.4,5.636886031,1.833356136,1,3.5197331976,33.7754159,43.98,8.110770578,22543.28558,0,2.416666667,5.29503889,33.61443315,3.5149555328,44.95333333,8.120508975,22147.49525
2009,14,Israel,2.5,4.195000735,1.40278687,1,3.5435411098,34.58918669,44.88,7.977984397,22663.30562,0,2.416666667,5.29503889,33.61443315,3.5149555328,44.95333333,8.120508975,22147.49525
2010,14,Israel,2.7,4.617677308,1.561089772,1,3.561780983,35.225878,45.56,7.879479511,24110.84963,0,2.416666667,5.29503889,33.61443315,3.5149555328,44.95333333,8.120508975,22147.49525
2005,15,Italy,7.4,9.951699704,1.344454446,0,2.9895997239,19.87772432,12.22,5.31718715,23909.89011,0,6.866666667,8.34628826,20.19369505,3.0053704294,13.72,5.227026581,26367.97509
2006,15,Italy,7.3,9.649080688,1.290175192,0,2.994536615,19.97610112,12.87,5.263457835,25776.08838,0,6.866666667,8.34628826,20.19369505,3.0053704294,13.72,5.227026581,26367.97509
2007,15,Italy,7.2,8.677301409,1.060352365,0,3.000976514,20.10516031,13.57,5.23041319,26981.81398,0,6.866666667,8.34628826,20.19369505,3.0053704294,13.72,5.227026581,26367.97509
2008,15,Italy,6.8,7.925287269,1.083541921,0,3.0091955185,20.27108565,14.35,5.212790174,27613.80303,0,6.866666667,8.34628826,20.19369505,3.0053704294,13.72,5.227026581,26367.97509
2009,15,Italy,6.4,7.056366395,1.110832284,0,3.0163117525,20.41585393,14.51,5.185775019,26824.56611,0,6.866666667,8.34628826,20.19369505,3.0053704294,13.72,5.227026581,26367.97509
2010,15,Italy,6.1,6.817994095,1.029162453,0,3.0212170084,20.51624494,14.8,5.152536118,27101.6889,0,6.866666667,8.34628826,20.19369505,3.0053704294,13.72,5.227026581,26367.97509
2005,16,Japan,8.5,6.253522009,1.934756747,0,3.556859754,35.05294925,39.93,5.606255087,24948.45905,1,7.716666667,5.179053008,35.05112026,3.5568075747,42.135,5.3568042,26406.8472
2006,16,Japan,7.9,5.733740315,1.862722079,0,3.5568754071,35.05349794,40.46,5.514596541,26121.03033,1,7.716666667,5.179053008,35.05112026,3.5568075747,42.135,5.3568042,26406.8472
2007,16,Japan,7.7,5.228886054,1.739831417,0,3.5568832337,35.05377229,41.02,5.428461858,27458.9276,1,7.716666667,5.179053008,35.05112026,3.5568075747,42.135,5.3568042,26406.8472
2008,16,Japan,7.5,4.751276509,1.561570028,0,3.5562647489,35.03209877,42.84,5.326880306,27208.7488,1,7.716666667,5.179053008,35.05112026,3.5568075747,42.135,5.3568042,26406.8472
2009,16,Japan,7.4,4.572974669,1.58575798,0,3.5548384274,34.98216735,43.76,5.22468826,25394.25799,1,7.716666667,5.179053008,35.05112026,3.5568075747,42.135,5.3568042,26406.8472
2010,16,Japan,7.3,4.533918489,1.568832629,0,3.5591191118,35.13223594,44.8,5.03994315,27309.65943,1,7.716666667,5.179053008,35.05112026,3.5568075747,42.135,5.3568042,26406.8472
2005,17,Korea,9,13.20246822,5.276017725,0,3.8900886638,48.91522334,31.6,7.432498346,19764.04931,1,9.15,12.38160009,49.20421267,3.8959792432,35.67666667,7.207946744,22411.48642
2006,17,Korea,9.2,13.0461678,5.035363012,0,3.8942832747,49.1208346,32.93,7.273255941,21107.65001,1,9.15,12.38160009,49.20421267,3.8959792432,35.67666667,7.207946744,22411.48642
2007,17,Korea,9.3,12.72494634,4.754829123,0,3.893437504,49.0793072,34.61,7.162605599,22683.80063,1,9.15,12.38160009,49.20421267,3.8959792432,35.67666667,7.207946744,22411.48642
2008,17,Korea,9.5,12.07644989,4.396486103,0,3.8965488878,49.23224957,36.55,7.104470599,23355.22769,1,9.15,12.38160009,49.20421267,3.8959792432,35.67666667,7.207946744,22411.48642
2009,17,Korea,8.9,11.97612161,4.38385952,0,3.8994249914,49.37405044,38.66,7.122232018,22941.04048,1,9.15,12.38160009,49.20421267,3.8959792432,35.67666667,7.207946744,22411.48642
2010,17,Korea,9,11.2634467,4.259853956,0,3.9020456136,49.50361086,39.71,7.152617963,24617.15041,1,9.15,12.38160009,49.20421267,3.8959792432,35.67666667,7.207946744,22411.48642
2005,18,Luxembourg,11.8,10.19014375,0.433623138,0,2.8796538654,17.80810811,26.54,6.009785922,50998.29595,0,11.65,8.759698566,18.57057915,2.9215785623,29.15833333,6.042200349,50756.53109
2006,18,Luxembourg,12,9.166762598,2.131805255,0,2.8965431517,18.11142857,23.99,6.031703044,51133.73416,0,11.65,8.759698566,18.57057915,2.9215785623,29.15833333,6.042200349,50756.53109
2007,18,Luxembourg,11.8,9.660070519,1.470010731,0,2.9115676658,18.38559846,26.51,6.034254666,58816.60269,0,11.65,8.759698566,18.57057915,2.9215785623,29.15833333,6.042200349,50756.53109
2008,18,Luxembourg,11.5,7.441106741,1.240184457,0,2.9274265625,18.67949807,27.65,6.052196976,56415.62458,0,11.65,8.759698566,18.57057915,2.9215785623,29.15833333,6.042200349,50756.53109
2009,18,Luxembourg,11.4,9.726443769,2.431610942,0,2.94727989,19.05405405,34.79,6.056454318,40692.40088,0,11.65,8.759698566,18.57057915,2.9215785623,29.15833333,6.042200349,50756.53109
2010,18,Luxembourg,11.4,6.37366402,0.199177001,0,2.9644886162,19.38478764,35.47,6.068807168,46482.5283,0,11.65,8.759698566,18.57057915,2.9215785623,29.15833333,6.042200349,50756.53109
2005,19,Netherlands,9.6,4.599667622,0.509029884,0,3.8773975849,48.298359,30.11,6.078994502,30103.21771,0,9.533333333,4.112665827,48.60974674,3.883824061,31.32666667,6.149817545,33948.70188
2006,19,Netherlands,9.6,4.46914788,0.404059945,0,3.8791551977,48.38332346,30.18,6.095184784,33600.56772,0,9.533333333,4.112665827,48.60974674,3.883824061,31.32666667,6.149817545,33948.70188
2007,19,Netherlands,9.6,4.334272813,0.5257369,0,3.8806101015,48.45376777,30.8,6.125438752,35517.59371,0,9.533333333,4.112665827,48.60974674,3.883824061,31.32666667,6.149817545,33948.70188
2008,19,Netherlands,9.7,4.126690244,0.341351039,0,3.8835040042,48.59419135,32.16,6.167768989,35849.50722,0,9.533333333,4.112665827,48.60974674,3.883824061,31.32666667,6.149817545,33948.70188
2009,19,Netherlands,9.4,3.906395248,0.382147361,0,3.8883921319,48.83230746,32.78,6.206163315,34031.04142,0,9.533333333,4.112665827,48.60974674,3.883824061,31.32666667,6.149817545,33948.70188
2010,19,Netherlands,9.3,3.239821155,0.38009075,0,3.8937883887,49.0965314,31.93,6.225354927,34590.2835,0,9.533333333,4.112665827,48.60974674,3.883824061,31.32666667,6.149817545,33948.70188
2005,20,New Zealand,9.3,9.797138752,0.749904448,1,0.4510497362,1.569959364,38.99,7.265294274,20289.23436,1,9.366666667,9.213329395,1.611198461,0.4769782878,39.73,7.361754488,22673.02297
2006,20,New Zealand,9.3,9.492753623,1.062801932,1,0.4525339288,1.572291216,37.86,7.294604024,21602.99344,1,9.366666667,9.213329395,1.611198461,0.4769782878,39.73,7.361754488,22673.02297
2007,20,New Zealand,9.2,9.957426679,1.064333018,1,0.473567209,1.605711899,40.71,7.331315186,22690.42169,1,9.366666667,9.213329395,1.611198461,0.4769782878,39.73,7.361754488,22673.02297
2008,20,New Zealand,9.5,8.550011712,0.726165378,1,0.4832177488,1.621282899,40.1,7.378777231,22587.88615,1,9.366666667,9.213329395,1.611198461,0.4769782878,39.73,7.361754488,22673.02297
2009,20,New Zealand,9.3,8.897126969,0.718257646,1,0.4941671879,1.639132581,40.06,7.414272475,24435.53803,1,9.366666667,9.213329395,1.611198461,0.4769782878,39.73,7.361754488,22673.02297
2010,20,New Zealand,9.6,8.585518634,0.801315073,1,0.5061021694,1.658812806,40.66,7.486263736,24432.06417,1,9.366666667,9.213329395,1.611198461,0.4769782878,39.73,7.361754488,22673.02297
2005,21,Norway,6.4,4.841129542,0.672982134,0,0.4146604643,1.513856645,32.69,6.277238443,42206.44249,0,6.6,4.85259394,1.551330901,0.4391132083,34.96166667,6.474331975,48173.70122
2006,21,Norway,6.5,5.21527109,0.754274744,0,0.4219834192,1.524983239,32.92,6.361738083,47376.63255,0,6.6,4.85259394,1.551330901,0.4391132083,34.96166667,6.474331975,48173.70122
2007,21,Norway,6.6,4.97742641,0.512696283,0,0.4307622443,1.538429736,34.19,6.449483899,48529.11325,0,6.6,4.85259394,1.551330901,0.4391132083,34.96166667,6.474331975,48173.70122
2008,21,Norway,6.8,5.382959577,0.696618298,0,0.4426619779,1.556845997,36,6.520349037,53260.47655,0,6.6,4.85259394,1.551330901,0.4391132083,34.96166667,6.474331975,48173.70122
2009,21,Norway,6.7,4.417355038,0.500077929,0,0.4556819284,1.577248587,36.69,6.582524372,47498.81377,0,6.6,4.85259394,1.551330901,0.4391132083,34.96166667,6.474331975,48173.70122
2010,21,Norway,6.6,4.281421984,0.494010229,0,0.4678896489,1.596621204,37.28,6.654658013,50170.72868,0,6.6,4.85259394,1.551330901,0.4391132083,34.96166667,6.474331975,48173.70122
2005,22,Poland,9.1,14.26107699,4.600009404,0,2.5291093082,12.54232981,16.92,8.332798324,11734.9462,0,10.05,13.18962095,12.5331414,2.5283764478,19.51,7.814491758,14621.64337
2006,22,Poland,9.9,13.74057825,4.722586688,0,2.5286696433,12.5368166,17.89,8.196769246,12782.22666,0,10.05,13.18962095,12.5331414,2.5283764478,19.51,7.814491758,14621.64337
2007,22,Poland,10.3,14.64375044,5.117312756,0,2.5278417733,12.52644204,18.68,8.011623474,14113.87007,0,10.05,13.18962095,12.5331414,2.5283764478,19.51,7.814491758,14621.64337
2008,22,Poland,10.8,14.26448528,4.937605536,0,2.5275836978,12.52320969,19.56,7.757107203,15597.89062,0,10.05,13.18962095,12.5331414,2.5283764478,19.51,7.814491758,14621.64337
2009,22,Poland,10.2,11.9887111,3.846771476,0,2.5281144408,12.52985806,21.15,7.473708103,16219.93846,0,10.05,13.18962095,12.5331414,2.5283764478,19.51,7.814491758,14621.64337
2010,22,Poland,10,10.23912362,3.23837175,0,2.5289388628,12.54019221,22.86,7.114944197,17280.98819,0,10.05,13.18962095,12.5331414,2.5283764478,19.51,7.814491758,14621.64337
2005,23,Portugal,12.1,13.08734569,2.2508715,0,2.4429887868,11.50738251,12.84,6.226948977,17414.64999,0,11.33333333,10.02218377,11.5811439,2.4493782496,14.06833333,5.866811426,19143.12886
2006,23,Portugal,11.7,10.13284146,1.636770842,0,2.4468124133,11.55146667,13.48,6.059051784,18392.21608,0,11.33333333,10.02218377,11.5811439,2.4493782496,14.06833333,5.866811426,19143.12886
2007,23,Portugal,11.3,10.15181013,1.632214826,0,2.4495998336,11.58371038,13.69,5.915701093,19354.68681,0,11.33333333,10.02218377,11.5811439,2.4493782496,14.06833333,5.866811426,19143.12886
2008,23,Portugal,11.2,9.211142846,1.610537246,0,2.4513418604,11.6039071,14.3,5.780683792,19734.16557,0,11.33333333,10.02218377,11.5811439,2.4493782496,14.06833333,5.866811426,19143.12886
2009,23,Portugal,10.9,8.741678233,1.543202616,0,2.4522526704,11.61448087,14.66,5.658070163,19659.92625,0,11.33333333,10.02218377,11.5811439,2.4493782496,14.06833333,5.866811426,19143.12886
